stimulus_number,stim_fn,question,answer_choice_1,answer_choice_2
311,2012-12-0033_311.jpg,question,yes,no
312,2012-12-0034_312.jpg,question,yes,no
313,2012-12-0035_313.jpg,question,yes,no
314,2012-12-0039_314.jpg,question,yes,no
315,2012-12-0040_315.jpg,question,yes,no
316,2012-12-0041_316.jpg,question,yes,no
317,2012-12-0042_317.jpg,question,yes,no
318,2012-12-0043_318.jpg,question,yes,no
319,2012-12-0044_319.jpg,question,yes,no
320,2012-12-0046_320.jpg,question,yes,no
321,2012-12-0048_321.jpg,question,yes,no
322,2012-12-0049_322.jpg,question,yes,no
323,2012-12-0052_323.jpg,question,yes,no
324,2012-12-0053_324.jpg,question,yes,no
325,2012-12-0054_325.jpg,question,yes,no
326,2012-12-0061_326.jpg,question,yes,no
327,2012-12-0062_327.jpg,question,yes,no
328,2012-12-0064_328.jpg,question,yes,no
329,2012-12-0065_329.jpg,question,yes,no
330,2012-12-0067_330.jpg,question,yes,no
331,2012-12-0069_331.jpg,question,yes,no
332,2012-12-0071_332.jpg,question,yes,no
333,2012-12-0072_333.jpg,question,yes,no
334,2012-12-0073_334.jpg,question,yes,no
335,2012-12-0075_335.jpg,question,yes,no
336,2012-12-0076_336.jpg,question,yes,no
337,2012-12-0078_337.jpg,question,yes,no
338,2012-12-0080_338.jpg,question,yes,no
339,2012-12-0081_339.jpg,question,yes,no
340,2012-12-0082_340.jpg,question,yes,no
341,2013-01-0001_341.jpg,question,yes,no
342,2013-01-0002_342.jpg,question,yes,no
343,2013-01-0003_343.jpg,question,yes,no
344,2013-01-0004_344.jpg,question,yes,no
345,2013-01-0006_345.jpg,question,yes,no
346,2013-01-0007_346.jpg,question,yes,no
347,2013-01-0012_347.jpg,question,yes,no
348,2013-01-0013_348.jpg,question,yes,no
349,2013-01-0014_349.jpg,question,yes,no
350,2013-01-0019_350.jpg,question,yes,no
351,2013-01-0021_351.jpg,question,yes,no
352,2013-01-0024_352.jpg,question,yes,no
353,2013-01-0025_353.jpg,question,yes,no
354,2013-01-0028_354.jpg,question,yes,no
355,2013-01-0030_355.jpg,question,yes,no
356,2013-01-0032_356.jpg,question,yes,no
357,2013-01-0033_357.jpg,question,yes,no
358,2013-01-0037_358.jpg,question,yes,no
359,2013-01-0038_359.jpg,question,yes,no
360,2013-01-0039_360.jpg,question,yes,no
361,2013-01-0040_361.jpg,question,yes,no
362,2013-01-0041_362.jpg,question,yes,no
363,2013-01-0042_363.jpg,question,yes,no
364,2013-01-0044_364.jpg,question,yes,no
365,2013-01-0045_365.jpg,question,yes,no
366,2013-01-0046_366.jpg,question,yes,no
367,2013-01-0047_367.jpg,question,yes,no
368,2013-01-0048_368.jpg,question,yes,no
369,2013-01-0053_369.jpg,question,yes,no
370,2013-01-0056_370.jpg,question,yes,no
371,2013-01-0059_371.jpg,question,yes,no
372,2013-01-0062_372.jpg,question,yes,no
373,2013-01-0063_373.jpg,question,yes,no
374,2013-01-0067_374.jpg,question,yes,no
375,2013-01-0073_375.jpg,question,yes,no
376,2013-01-0078_376.jpg,question,yes,no
377,2013-01-0079_377.jpg,question,yes,no
378,2013-01-0081_378.jpg,question,yes,no
379,2013-01-0082_379.jpg,question,yes,no
380,2013-01-0084_380.jpg,question,yes,no
381,2013-01-0085_381.jpg,question,yes,no
382,2013-01-0086_382.jpg,question,yes,no
383,2013-01-0087_383.jpg,question,yes,no
384,2013-01-0089_384.jpg,question,yes,no
385,2013-01-0090_385.jpg,question,yes,no
386,2013-01-0091_386.jpg,question,yes,no
387,2013-01-0092_387.jpg,question,yes,no
388,2013-01-0093_388.jpg,question,yes,no
389,2013-01-0095_389.jpg,question,yes,no
390,2013-01-0097_390.jpg,question,yes,no
391,2013-01-0098_391.jpg,question,yes,no
392,2013-01-0101_392.jpg,question,yes,no
393,2013-01-0104_393.jpg,question,yes,no
394,2013-01-0106_394.jpg,question,yes,no
395,2013-01-0107_395.jpg,question,yes,no
396,2013-01-0108_396.jpg,question,yes,no
397,2013-01-0111_397.jpg,question,yes,no
398,2013-01-0112_398.jpg,question,yes,no
399,2013-01-0113_399.jpg,question,yes,no
400,2013-01-0114_400.jpg,question,yes,no
401,2013-01-0115_401.jpg,question,yes,no
402,2013-01-0118_402.jpg,question,yes,no
403,2013-01-0120_403.jpg,question,yes,no
404,2013-01-0123_404.jpg,question,yes,no
405,2013-01-0128_405.jpg,question,yes,no
406,2013-01-0129_406.jpg,question,yes,no
407,2013-01-0130_407.jpg,question,yes,no
408,2013-01-0132_408.jpg,question,yes,no
409,2013-01-0133_409.jpg,question,yes,no
410,2013-01-0134_410.jpg,question,yes,no
411,2013-01-0137_411.jpg,question,yes,no
412,2013-02-0002_412.jpg,question,yes,no
413,2013-02-0003_413.jpg,question,yes,no
414,2013-02-0004_414.jpg,question,yes,no
415,2013-02-0005_415.jpg,question,yes,no
416,2013-02-0006_416.jpg,question,yes,no
417,2013-02-0007_417.jpg,question,yes,no
418,2013-02-0009_418.jpg,question,yes,no
419,2013-02-0010_419.jpg,question,yes,no
420,2013-02-0012_420.jpg,question,yes,no
421,2013-02-0013_421.jpg,question,yes,no
422,2013-02-0014_422.jpg,question,yes,no
423,2013-02-0015_423.jpg,question,yes,no
424,2013-02-0016_424.jpg,question,yes,no
425,2013-02-0017_425.jpg,question,yes,no
426,2013-02-0019_426.jpg,question,yes,no
427,2013-02-0021_427.jpg,question,yes,no
428,2013-02-0023_428.jpg,question,yes,no
429,2013-02-0025_429.jpg,question,yes,no
430,2013-02-0026_430.jpg,question,yes,no
431,2013-02-0027_431.jpg,question,yes,no
432,2013-02-0028_432.jpg,question,yes,no
433,2013-02-0029_433.jpg,question,yes,no
434,2013-02-0030_434.jpg,question,yes,no
435,2013-02-0032_435.jpg,question,yes,no
436,2013-02-0034_436.jpg,question,yes,no
437,2013-02-0039_437.jpg,question,yes,no
438,2013-02-0040_438.jpg,question,yes,no
439,2013-02-0041_439.jpg,question,yes,no
440,2013-02-0043_440.jpg,question,yes,no
441,2013-02-0044_441.jpg,question,yes,no
442,2013-02-0045_442.jpg,question,yes,no
443,2013-02-0046_443.jpg,question,yes,no
444,2013-02-0048_444.jpg,question,yes,no
445,2013-02-0049_445.jpg,question,yes,no
446,2013-02-0050_446.jpg,question,yes,no
447,2013-02-0051_447.jpg,question,yes,no
448,2013-02-0057_448.jpg,question,yes,no
449,2013-02-0058_449.jpg,question,yes,no
450,2013-02-0060_450.jpg,question,yes,no
451,2013-02-0061_451.jpg,question,yes,no
452,2013-02-0062_452.jpg,question,yes,no
453,2013-02-0065_453.jpg,question,yes,no
454,2013-02-0066_454.jpg,question,yes,no
455,2013-02-0070_455.jpg,question,yes,no
456,2013-02-0071_456.jpg,question,yes,no
457,2013-02-0072_457.jpg,question,yes,no
458,2013-02-0073_458.jpg,question,yes,no
459,2013-02-0077_459.jpg,question,yes,no
460,2013-02-0078_460.jpg,question,yes,no
461,2013-02-0079_461.jpg,question,yes,no
462,2013-02-0082_462.jpg,question,yes,no
463,2013-02-0083_463.jpg,question,yes,no
464,2013-02-0090_464.jpg,question,yes,no
465,2013-02-0093_465.jpg,question,yes,no
466,2013-02-0097_466.jpg,question,yes,no
467,2013-02-0099_467.jpg,question,yes,no
468,2013-02-0102_468.jpg,question,yes,no
469,2013-02-0106_469.jpg,question,yes,no
470,2013-02-0107_470.jpg,question,yes,no
471,2013-02-0108_471.jpg,question,yes,no
472,2013-02-0109_472.jpg,question,yes,no
473,2013-02-0110_473.jpg,question,yes,no
474,2013-02-0114_474.jpg,question,yes,no
475,2013-02-0115_475.jpg,question,yes,no
476,2013-02-0117_476.jpg,question,yes,no
477,2013-03-0000_477.jpg,question,yes,no
478,2013-03-0003_478.jpg,question,yes,no
479,2013-03-0004_479.jpg,question,yes,no
480,2013-03-0007_480.jpg,question,yes,no
481,2013-03-0010_481.jpg,question,yes,no
482,2013-03-0011_482.jpg,question,yes,no
483,2013-03-0012_483.jpg,question,yes,no
484,2013-03-0015_484.jpg,question,yes,no
485,2013-03-0016_485.jpg,question,yes,no
486,2013-03-0018_486.jpg,question,yes,no
487,2013-03-0019_487.jpg,question,yes,no
488,2013-03-0020_488.jpg,question,yes,no
489,2013-03-0021_489.jpg,question,yes,no
490,2013-03-0023_490.jpg,question,yes,no
491,2013-03-0024_491.jpg,question,yes,no
492,2013-03-0027_492.jpg,question,yes,no
493,2013-03-0028_493.jpg,question,yes,no
494,2013-03-0029_494.jpg,question,yes,no
495,2013-03-0031_495.jpg,question,yes,no
496,2013-03-0032_496.jpg,question,yes,no
497,2013-03-0033_497.jpg,question,yes,no
498,2013-03-0036_498.jpg,question,yes,no
499,2013-03-0037_499.jpg,question,yes,no
500,2013-03-0041_500.jpg,question,yes,no
501,2013-03-0042_501.jpg,question,yes,no
502,2013-03-0045_502.jpg,question,yes,no
503,2013-03-0046_503.jpg,question,yes,no
504,2013-03-0047_504.jpg,question,yes,no
505,2013-03-0048_505.jpg,question,yes,no
